Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
Switzerland,"We are the leading Swiss-based big data specialist solution provider, offering a combination of big data engineering, data science, training services and support. In addition we provide legal and governance services to ensure compliance with applicable data protection and privacy laws.",Founded 2013,Undisclosed,10 - 49,+41 44 214 62 89,"$5,000+",Europaallee 41,Scigility,https://scigility.com/
Cyprus,-,Founded 2003,$50 - $99 / hr,10 - 49,+35722030828,"$5,000+","47 Strovolou Avenue, 6th Floor",Cellock Ltd,https://www.cellock.com/
Netherlands,"Xomnia is the leading Dutch big data company that empowers organizations to create maximum value out of data. We excel in generating value from data by developing, integrating and maintaining your big data platforms and predictive solutions. Xomnia’s big data training programs enable and further develop the data driven capabilities of your own employees.",Founded 2013,Undisclosed,50 - 249,+31.20.772.8425,Undisclosed,Raamstraat 7-I,Xomnia,https://www.xomnia.com/
India,"Virus Positive Technologies is a leading provider of outsourcing software development, QA & Compliances, Customer & Operational Support and related services. Based in India and serving clients worldwide, Virus Positive Technologies delivers a wide variety of comprehensive end-to-end services that combine power, functionality, and reliability with flexibility, agility, and usability. At Virus Positive Technologies, we strive to achieve 100% customer satisfaction, and pride ourselves on our ability to produce solutions of unparalleled depth and quality. Since our inception, we have steadily grown into a reputed provider of high-quality and cost-effective software testing services. Our ability to evolve continuously, doubled with our flexible approach towards the dynamic business world has helped us to gain success in short span of time.",Founded 2011,< $25 / hr,50 - 249,9810166484,"$1,000+",Unit#130-131 Vipul Trade Center Sector 48,Virus Positive Technologies,http://www.viruspositive.com
,,Founded 2015,Undisclosed,10 - 49,,Undisclosed,,CorrDyn,https://www.corrdyn.com/
India,"YAKKAY Technologies is one of the best software development company specialized in Web, Mobile and Data Analytics.  YAKKAY Technologies has office in Houston, TX, USA and Chennai, Tamil Nadu, India.  YAKKAY Technologies has strong experience in developing enterprise applications.  YAKKAY Technologies has special programs for start-up companies to support their IT needs or MVPs. We have certified developers, project managers and agile scrum masters who ensure the on-time delivery and quality of the project. YAKKAY Technologies have experience in working with Business Process Automation, building Enterprise Mobility Platform, HR Application development, Machine Learning Alogirthms, HR Data Analytics, Data Engineering using Azure Data Analytics Tools, Power BI and Power Platform apps.",Founded 2016,Undisclosed,10 - 49,6382851153,Undisclosed,India,YAKKAY Technologies,https://www.yakkaytech.com
China,"Zhongke Maihang Information Technology Co., Ltd. (abbreviation: Zhongke Maihang), formerly known as Shenzhen Maihang Information Technology Co., Ltd., was established in 2005. Registered capital: 205 million yuan. The company focuses on smart cities, provides smart life services for citizens, enterprises, and governments, and continues to work in the fields of government, medical care, education, and environmental protection. It is a professional comprehensive service provider in the fields of digital government and smart city applications. As one of the earliest companies to enter the field of smart cities in China, Zhongke Maihang adheres to the core values ​​of ""integrity, innovation, win-win, and respect"", and is committed to becoming a leader in smart industry data operations, making urban governance more refined and the environment more beautiful ; Make people healthier and live better.",Founded 2005,Undisclosed,10 - 49,"27880931, 27880937",Undisclosed,"Room 106-109, Building 1, Office Building, Huiju Innovation Park, No. 2 Liuxian Avenue, Xingdong Community, Xin'an Street","Zhongke Maihang Information Technology Co., Ltd.",http://www.zkmh.com.cn/
China,"Jiangsu Zhiyun Technology Development Co., Ltd. (hereinafter referred to as ""Jiangsu Zhiyun"") was established in 2000. It is a high-tech enterprise with intelligent transportation (ITS) as its core business. In 2007, it became a subsidiary of Nanjing Sanbao Technology Co., Ltd (stock code HK01708). Wholly owned subsidiary. Jiangsu Zhiyun takes it as its mission to create customer interests with scientific and technological capabilities, and focuses on technology research and development in the fields of radio frequency identification, video identification, Internet, big data and artificial intelligence, and provides intelligent solutions for smart transportation, smart logistics, smart cities and other fields. Solutions, products and services, aiming to become a leading IoT solution provider.",Founded 2000,Undisclosed,10 - 49,025-8435-6666,Undisclosed,"No. 10, Maqun Avenue","Jiangsu Zhiyun Technology Development Co., Ltd.",https://www.jszhiyun.com/
China,"Nanjing Zhixing Information Technology Co., Ltd. is a high-tech enterprise integrating production, education and research. Taking the Internet of Things, cloud services, big data and artificial intelligence as the core technologies, relying on the industry background of traffic analysis and management, it provides traffic intelligent equipment, information services and consulting services.",Founded 0,Undisclosed,10 - 49,+86-25-5221 3978,Undisclosed,"Building 33, Headquarters Base, No. 70, Phoenix Road","Nanjing Zhixing Information Technology Co., Ltd.",http://www.zhixingit.com/
China,"NavInfo is a China-based technology company leading the way to becoming the “digital brain of intelligent driving” with core businesses in HD map, high accuracy positioning, cloud service platform and automotive-grade semiconductors for ADAS and autonomous driving. Founded in 2002, NavInfo is the market leader in navigation map, navigation software development, dynamic traffic information, location big data and customized connected vehicle services to both passenger and commercial vehicles. Now, NavInfo is ushering in the new era of automotive industry with a comprehensive technology development strategy and laying the foundation to become one of the most trustworthy smart mobility solution providers in the China market and beyond.",Founded 2002,Undisclosed,10 - 49,400-810-0880,Undisclosed,"NavInfo Building, Haidian District",NavInfo,https://navinfo.com/
China,"Beijing Dongtong Netcom Technology Co., Ltd. (abbreviation: Dongtong Netcom, formerly known as Weizhixinye) was established in 2003. It is a high-tech enterprise and a dual-software enterprise; it focuses on communication and network security, information security, and business security. Innovation research in fields such as 5G, Internet of Things, industrial Internet, artificial intelligence, big data, blockchain, etc., to carry out innovative research and development of new technologies and new businesses, and form a strategic model for the coordinated development of multiple business platforms. As of the end of June 2020, the company has obtained hundreds of software copyrights and a number of invention patents; it has participated in the development of hundreds of national standards and industry standards. Adhering to the tenet of ""customer-centered"", the company provides comprehensive, professional and stable network information security comprehensive solutions, products and services for government and enterprise customers such as the three major telecom operators, radio and television, and security authorities.",Founded 2003,Undisclosed,10 - 49,010-64135099,Undisclosed,"22nd Floor, Block A, Digital Building, No. 2 Zhongguancun South Stree","Beijing MICROVISION Technologies Co., Ltd.",http://www.mvtech.com.cn/
Mexico,,Founded 2017,Undisclosed,10 - 49,+52 81 1769 6331,Undisclosed,Boulevard Antonio L. Rodríguez 3000 Ofi-706 Santa María,Gesta Labs.,http://www.gestalabs.com/
Colombia,"At Okorum  we design health information technologies, which transform data into information and knowledge, to improve decision-making and solve problems in the health sector.",Founded 2008,Undisclosed,10 - 49,501-502-504,Undisclosed,Cr. 43a # 16a Sur 48,OKORUM TECHNOLOGIES S.A.S,https://okorum.com/
United States,"Scalability Experts (SE), a world leader in data management, advanced analytics, and cloud solutions. Founded in 2002, SE is an award-winning global system integrator and consulting firm focused on mid and large- enterprise organizations, IT professionals, Business Executives, and the Investment Community. SE is a global service provider of Advanced Analytics, SAS to R Migration, Machine Learning, Internet of Things (IoT), Application Modernization",Founded 2002,Undisclosed,10 - 49,,Undisclosed,"106 N Denton Tap Rd, Suite 210-115",Scalability Experts Inc.,http://www.scalabilityexperts.com/
United States,"UsefulBI mission is to enable better business decisions and enterprise integration through power of Blockchain technology and Artificial Intelligence combination. UsefulBI Blockchain platform enables enterprises to run their full supply chain by integrating their existing ERP processes and systems to provide full trust, transparency, tractability , secured and real time data.",Founded 2014,Undisclosed,10 - 49,617.410.6420,Undisclosed,"101 Federal Street, 19th Floor",UsefulBI,http://usefulbi.com
United States,"Drawing on over 25 years of experience we are leading digital transformation experts with a focus on cloud technologies and a wide range of capabilities covering Big Data, Cross-platform and database management. ​With over 2000 engineers at our disposal, we develop highly configurable solutions for industry leaders aimed at solving their most significant business challenges.Over the years we have completed a number of complex projects for some of the largest multinationals in the world. With emphasis on innovation and utilization of emerging technology we continuously maximize value for our clients and deliver unrivaled solutions and expertise.",Founded 0,Undisclosed,10 - 49,,Undisclosed,555 Twin Dolphin Dr,DSI Global,https://www.dsi-global.net/
United States,"The AUG Global holding has been operating for over 25+ years and is recognized as a leader in technology innovation. Over the years we started many successful businesses that have generated significant value to our customers, investors and employees. The group has approximately 2,000 employees with key offices in Israel, Ukraine and US",Founded 2018,Undisclosed,10 - 49,,Undisclosed,555 Twin Dolphin Dr,AUG.global,https://aug.global/
United States,"SolGenie Technologies is a digital transformation partner of innovative consulting, technology, and outsourcing services. Our services are broad-based and include enterprise cloud solutions, product engineering, enterprise mobility, robotic process automation, machine learning and artificial intelligence, user experience and design, business intelligence and analytics, E-business solutions, ERP implementations, global roll-outs, upgrades, testing, application management, infrastructure support as well as staff augmentation services.",Founded 2007,Undisclosed,10 - 49,470.381.2300,Undisclosed,"4725 Peachtree Industrial Blvd, Suite 200",SolGenie,https://www.solgenie.com/
United Kingdom,"SMAP Energy creates business value from smart-meter data. We want to transform the way energy providers and customers look at energy consumption. Using energy data collected via smart meters and our own research originating from the University of Cambridge, we provide a SaaS solution that allows utilities to analyze energy consumption data using advanced machine learning techniques to better understand and react to consumer behavior.",Founded 2016,Undisclosed,10 - 49,,Undisclosed,1 Quality Ct.,SMAP Energy,https://smapenergy.com/
Thailand,"GoPomelo works with companies to transform their technology, business and culture. We help organisations of all sizes evaluate and deploy cloud technology to drive innovation, to create digital workplaces and to enhance digital marketplaces.",Founded 2008,Undisclosed,10 - 49,66 2 030 0082,Undisclosed,"6/1 Campus 101 Building, 1st Floor, Soi Punnawithi 11, Bangchak, Phrakanong",GoPomelo,https://www.gopomelo.com/
Singapore,"6Estates was founded by data scientists and tech entrepreneurs to solve real world challenges presented by the explosion of data on different digital platforms. Built upon years of research on big data analytics from NExT, a research centre established between National University of Singapore (NUS) and Tsinghua University of China, 6Estates develops state-of-the-art tools that can gather, analyze and predict digital signals about organisations, products, brands, people, location and events, to deliver real-time, deep intelligence to businesses to enable critical and time-sensitive decision-making on marketing, product development, manufacturing and customer service.",Founded 2014,Undisclosed,10 - 49,,Undisclosed,"Blk 79, Ayer Rajah Crescent, #01-05",6Estates,https://www.6estates.com/
United States,"Whether it’s assembling mounds of data from a variety of sources, surfacing intelligence with Deep Learning, or building high-volume, highly-available systems, we consistently deliver. With extensive domain knowledge, BigR.io’s scientists and engineers design and build best-in-class solutions across a variety of verticals. This diverse industry exposure and our constant run-in with cutting-edge technology equips us with invaluable tools, strategies, and techniques. Our knowledge and horsepower bring innovative, cost-conscious, and extensible results to complex business challenges.",Founded 2013,$100 - $149 / hr,10 - 49,+1.617.500.5093,"$10,000+",One Boston Place Suite 2600,BigR.io,https://bigr.io/
United States,"Eifer Corp provides optimized IT and Analytics solutions to improve clients’ return on investment (ROI). We help our clients overcome the challenges posed by constant advances in technology, heightened regulations, and demands for greater transparency by providing high-quality enterprise solutions. Our experienced team works with a vision to enable our clients with solutions that lead better processes and better decision making.",Founded 2015,Undisclosed,2 - 9,703.291.1743,Undisclosed,"13514, Maverick Ln",Eifer Corp,https://www.eifercorp.com/
Philippines,"delaware is a fast-growing, global company that delivers advanced solutions and services to organizations striving for a sustainable, competitive advantage.",Founded 2010,Undisclosed,10 - 49,+63.2.9463512,Undisclosed,1202 Eco Tower 32nd Street Corner 9th Avenue Bonifacio Global City,"Delaware Managed Services and IT Consulting, Inc",https://www.delaware.pro/en-PH
United States,"We deliver the extra mile beyond Big Data, BI and Visualization, we deliver actionable insight and high-quality Data-Driven Analytics. Our services reduce the risks of ambiguity with evidence-based research, increase confidence in the Enterprise Decision-Making processes, augment shareholders' ROI, and improve the quality of decision outcomes and due diligence. We average over 20 years of experience for each of our scientists, our collective experience is over 300 years.",Founded 2013,Undisclosed,2 - 9,678-534-8521,Undisclosed,"3423 Piedmont Rd, Atlanta Tech Village",Anova Analytics LLC,http://www.anovaanalytics.com/
United States,"O3 is a technology services organization whose mission it is to identify challenging and complex business problems and architect unique and accessible technology solutions that scale. One of O3's flagship products is Time Off Bidding (TOB). TOB is a purpose-built time off bidding platform that serves the needs of thousands of employees, enterprise managers, and union representatives.",Founded 2012,Undisclosed,2 - 9,925.405.6050,Undisclosed,Willow Pass Rd,"O3, Inc.",https://www.o3apps.com/
United States,"AnalyticsPlus is a leading Chicago based advanced analytics and predictive modeling company with strong domain knowledge in healthcare and other industries. In the manufacturing sector, it has created unique IP driven streaming analytics, anomaly detection, and edge computing in the Internet of Things (IoT) space. Its mission is to help clients generate operational efficiency and derive a competitive advantage through advanced analytics. Its core technical experience includes working with Data Analytics, Big Data, Hadoop, Spark, R, SAS, IBM Netezza, IBM SPSS, Machine Learning, and classical hypothesis-driven statistical analysis.",Founded 2018,Undisclosed,2 - 9,,Undisclosed,Corporate Center 800 W 5th Ave,"AnalyticsPlus, Inc.",https://www.analyticsplus.com/
United States,"Atlanta based Cinchapi is transforming how data scientists, analysts, and developers explore and work with data with the Cinchapi Data Platform. Real-time insights with the power to act when it matters. Cinchapi is the code-free platform for data discovery, analytics, and automation powered by machine intelligence.",Founded 2016,Undisclosed,2 - 9,,Undisclosed,859 Spring Street,Cinchapi,https://cinchapi.com/
United Kingdom,"At UrbanTide, we have expertise in transforming our cities, innovating new products, extracting value from data & technology and engaging diverse communities.",Founded 2014,Undisclosed,2 - 9,+44.7921.912.422,Undisclosed,"3 Lady Lawson St,",Urban Tide,https://urbantide.com/
United Kingdom,"Metafused is a company helping capital markets get AI ready with their data which in turn improves their efficiency by at least 20%. Its team is alumni of MIT, LBS, CBOE, CFH, EMC, and GSK. The company has received investment from angels who have founded and sold businesses in capital markets and scaled global supply chains. The company has built a platform that helps increase the scope of inquiry, decrease the cost associated with computational processing whilst working on a high scale real-time data science pipeline.",Founded 2014,Undisclosed,2 - 9,+4479.6869.2984,Undisclosed,5 Bonhill St.,Metafused,https://www.metafused.com/
,,,,,,,,Synacal Private Limited,https://www.synacal.ai
United Kingdom,"We sit at the intersection of people and technology.  We help our clients reframe their thinking, redefine their challenges, and retool with artificial intelligence to harness the potential of human emotion. We spent 4 years collecting over 1.5 billion emotion data points to understand how AI and humans can come together in an ethical, intuitive and natural way. Artificial Intelligence is like fire.  Scary at first, but core to the very evolution of humanity.",Founded 2013,Undisclosed,2 - 9,+4420.3808.9953,Undisclosed,14 Hanover Square,CrowdEmotion,https://www.crowdemotion.co.uk/
United Kingdom,"Lyticore was conceived with only one thing in mind digitally awakening businesses so they can succeed in the ever changing online world of business, building upon a combined 30 years experience in e-commerce Ian and Craig co-founded an online retail business in 2010 which was eventually sold to Private Equity in 2017, with millions spent on Google advertising and over £100 million of sales, they are well placed to advise any eCommerce business on their digital plans. We have faced all the barriers and issues facing a growing e-commerce business. We were boot strapped from the start and had to achieve a great ROAS to survive.",Founded 2022,$200 - $300 / hr,2 - 9,07739131323,"$1,000+",Milton Road,Lyticore,https://www.lyticore.com
Canada,"Drive business growth with our technology consulting services. The Dimensions provide Cloud Solutions, AI & ML Implementations, Brand & Marketing Consulting. Our experts help navigate the complex technology landscape to achieve seamless operations & improved customer engagement.",Founded 2022,$150 - $199 / hr,2 - 9,+1 905-288-8214,"$5,000+","250 Yonge St, Toronto",The Dimensions,https://www.thedimensions.net
Pakistan,"TechLane Consulting offers a range of software services including DevOps, Full Stack Development, Graphic Design, Digital Marketing, AI and Machine Learning to Startups, Finance, Education, E-commerce, and Retail industries.",Founded 2023,$25 - $49 / hr,2 - 9,+923072482316,"$1,000+",A-369 block 19 Gulshan-e-Iqbal,TechLane Consulting,https://techlaneconsulting.com/
India,"DarkBuild helps you turn your business ideas into innovative, robust and digital powered solutions. When it comes to the digital ecosystem, DarkBuild helps you build a product for the future through innovation, technology, and collective knowledge. We help you realize your boldest ambitions and build future-ready, sustainable businesses. Our always learning agenda drives your continuous improvement through building and supporting your digital products.Our major domain consists of Mobile and App development, Data Engineering, AI/ML and cloud solutions.",Founded 2022,$25 - $49 / hr,2 - 9,+918870661433,"$5,000+",Metro Colony,DarkBuild Technologies Private Limited,https://darkbuild.com/
Poland,Our mission is to provide solutions that,Founded 2018,$50 - $99 / hr,2 - 9,+48 726587379,"$10,000+",57d Legnicka,Synergity,https://synergity.co
Argentina,"We help organizations to improve business performance in the digital world. From Software Development and IT Strategy to Big Data and AI, our talent delivers cost-efficient and fast implementations.",Founded 2021,$25 - $49 / hr,2 - 9,542214592497,"$5,000+",Calle 133 nro 26,DigitalMate,https://www.digitalmate.tech/
United Kingdom,We are here to help your digital transformation.,Founded 2015,Undisclosed,2 - 9,+447904975026,"$1,000+",Monkey Magic Cloud ltd,Monkey Magic Cloud ltd - Development Agency,https://monkeymagiccloud.co.uk/
United Kingdom,,Founded 2022,Undisclosed,2 - 9,+44 20 3004 4135,Undisclosed,20 Greville Avenue,Oasis Private Limted,https://oasislimited.co.uk
India,"Kritech Technology is a startup company based out of Mumbai, India. We are an IT solution company designed to create creative customer solutions. We are a certified company under ISO, FICCI, NASSCOM, CII, WICCI & ITC.",Founded 2021,Undisclosed,2 - 9,+918587998576,"$10,000+",Belapur Village,Kritech Technologies Private Limited,https://kritechtechnologies.com/
Sri Lanka,"We are highly skilled intellectual personnel, most having substantial work experience in diverse areas of Information Technology with a ground-breaking idea that we hope will contribute towards a better tomorrow. We provide smart software solutions for companies of all sizes and we take pride in providing smart, unparalleled and dedicated service to.",Founded 2020,$25 - $49 / hr,2 - 9,+94772392970,"$5,000+","36/15, Chakindarama Road",Codimite,https://www.codimite.com/
United States,"We provide powerful software solutions and expert services that empower every individual with actionable intelligence, helping organizations unleash the full potential of their people and investments.",Founded 2019,$100 - $149 / hr,2 - 9,7205774666,"$50,000+",17077 White Alba Lane,"Adept Software, LLC",https://www.AdeptBiSoftware.com
Bulgaria,Netlyt is an AI-first company with a mission to enable businesses to experiment and implement AI to improve and reinvent their services.,Founded 2018,$50 - $99 / hr,2 - 9,+359877933992,"$1,000+",Cherni Vrah 47a,Netlyt,https://netlyt.io/
,"We specialize in  Real-Time analytical systems. We use predictive algorithms, ""streaming"" databases, AI, Machine and Deep learning.",Founded 2018,$25 - $49 / hr,2 - 9,,"$5,000+",,symatic.io,http://symatic.io
,"Looking for a software vendor? You are in the right place, what we can do for You?",Founded 2018,< $25 / hr,2 - 9,,"$1,000+",,RESTGroup,https://restgroup.pl/en/
United Arab Emirates,"We saw large corporations struggling to transform their massive work force that are obsessed with the old technologies, hence we started as a lean company that only focuses on Rapid Development, Data Engineering, Data science and Cloud technologies and we named our company accordingly. From a humble beginning, RapidData Technologies has evolved as a next-generation technology company that helps enterprises reimagine their businesses for the digital age. We modernize IT, optimize data architectures, and make everything secure, scalable and orchestrated across public, private and hybrid clouds.",Founded 2003,Undisclosed,250 - 999,+971 585.576.809,Undisclosed,"Office #2605, Latifa Towers, Sheikh Zayed road,",RapidData Technologies,https://www.rapiddatatech.com/
United States,"Kopius is an innovative professional services firm that delivers transformational digital solutions to our clients. We bring the best of blended dual shore teams with US-based project leadership and Latin America-based engineering prowess. Fueled by our love of cutting-edge digital technology, we celebrate the borderless and limitless possibilities together. Our digital consulting practice helps organizations define and advance their goals while gaining operational efficiency and finding new ways to differentiate their business. We deploy smart consultants and scalable teams of technical experts with an emphasis on digital experiences and strategy, engineering and development, and end-to-end operational services.",Founded 2017,Undisclosed,250 - 999,206-672-3993,Undisclosed,"3055 112th Ave NE, Suite 225","Kopius, Inc.",https://kopiustech.com/
Panama,"Iterum is the leading nearshore and work-at-home customer contact management service provider, providing exceptional customer experiences, through phone, email, chat, social media, and other contact channels, We manage customer interactions for the world’s leading brands, across the full customer life cycle: sales, activation, service, tech support, loyalty, retention, and collections, and across industries including cable/wireless/satellite, banking, retail, technology, consumer, travel/hospitality, e-commerce, and others.",Founded 0,Undisclosed,250 - 999,+507.320.5200,Undisclosed,"Galería Plaza Los Pueblos, Ave. José Agustín Arango.",Iterum Connections,https://iterumconnections.com/
United States,"Vigilant delivers premium advisory, implementation and managed IT services to businesses looking for value and excellent service.",Founded 1999,Undisclosed,250 - 999,+1.248.965.4866,Undisclosed,"1050 Wilshire Dr #307,",Vigilant Technologies LLC,https://vigilant-inc.com/
Canada,"Crave Daniels is a product development studio specialized in creating scalable digital products for forward-thinking enterprises and startups. We bring the best of both worlds: the diversity and expertise of a seasoned team, and the drive and innovation of a start-up.",Founded 2013,$50 - $99 / hr,10 - 49,+1 (437) 427-0700,"$5,000+",10 Park Lawn Road,Crave Daniels,https://www.cravedaniels.com
India,"Are you tired of complicated IT challenges holding back your business growth? Look no further than Ghostengines Technologies, your leading managed services provider. Our team of experts has the experience and know-how to tackle even the most complex IT issues, making IT simple for you and giving you the peace of mind you deserve.",Founded 2021,< $25 / hr,10 - 49,+91-7305528208,"$1,000+",Santhome High Road,Ghostengines Technologies,https://ghostengines.io
Pakistan,"We are one of Pakistan's fastest-growing technology companies, providing outsourced technology services to internationally recognized brands. To serve our customers effectively, we ensure a delicate balance between management, quality standards, and speed of execution. Dotlabs delivers an entire spectrum of IT solutions including Data Management & Analytics, Cloud Services, Custom Software Application Development, Artificial Intelligence, Robotic Process Automation, Metaverse Development, Block Chain, BPO, Digital Marketing, Web 3.0, and DevOps.",Founded 2021,$25 - $49 / hr,10 - 49,+92 (042) 34550474,"$1,000+","Office # 1008, Haly Tower, DHA Phase 2, Lahore, Pakistan",DOT LABS (SMC-PRIVATE) LIMITED,https://www.dotlabs.ai
United States,"Somos un centro Learning partner Microsoft, para la capacitación y entrenamiento en habilidades tecnológicas, para empresas del sector retail, banca, energía, manufactura y educación.",Founded 1991,Undisclosed,10 - 49,+52 (81)8356 8394,Undisclosed,2140 South Dupont Highway,CompuEducación USA,https://compueducacionusa.com/
United Kingdom,"using our development pipeline we help startups and enterprise companies deliver custom end-to-end-artificial intelligence products and solutions, deploying and scaling in a fraction of the time.",Founded 2022,$50 - $99 / hr,10 - 49,+44 1343 890770,"$5,000+",AISTREAMING,AISTREAMING,https://aistreaming.io
,,,,,,,,Phenx Machine Learning Technologies Inc.,https://www.phenx.io
Pakistan,"PKI Solutions specializes in Blockchain development, smart contract development, Hyper ledger fabric, Ethereum DApps, Security Audits, Formal Verifications, Decentralized PKI solutions and Machine Learning /AI. PKIsol is founded by ex-Microsoft engineers.",Founded 2021,$50 - $99 / hr,10 - 49,+923044636110,"$1,000+","346-B, Ferozepur Road, Arfa Software Technology Park",PKISol,https://pkisol.com
Poland,"Astrokyon is a multi-technology software house and IT consultancy company building software for various Clients worldwide since 2020. We’re on the mission to design, build, integrate and set in motion an entire galaxy of IT Solutions. To do so, we use our 15+ years of experience in implementation of practical Information Technology solutions for different industries. We’ve successfully delivered and empowered projects in FinTech, MedTech, Gaming, HealthCare, Renewable Energy, Ecology and many more.",Founded 2020,$25 - $49 / hr,10 - 49,+48123120515,"$5,000+",27 Józefa Marcika,Astrokyon,https://www.astrokyon.com
India,"Large amounts of data might be complex to handle, but Separating, Cleansing, and categorizing it are no longer your concerns. We are an established company that Unlocks Insightful Information from unstructured data to automate insurance workflows. We specialize in Human-in-the-Loop workforce solutions for Computer Vision, Data Annotation, Natural",Founded 2021,$25 - $49 / hr,10 - 49,+91 9449684702,"$1,000+","Palahalli, Mysuru",Deiteo AI Private Limited,https://deiteo.in/
United States,"A team of experts who are committed to help businesses and enterprises adopt advanced technologies like BlockChain , Artificial Intelligence, Computer Vision and Business Intelligence technologies. We possess a rich experience in designing, implementing, and crafting Data Engineering Solutions, for a wide array of business challenges.",Founded 2008,$50 - $99 / hr,10 - 49,7325958818,"$5,000+",91 King Street,SAR Software Inc,https://sarsoftwareinc.com/
Egypt,"established to be one of the specialized regional system integrator and solution providers operating across the emerging markets of the Middle East and Africa. TATAS is led by a group of accredited teams with more than 30 years of significant experience in ICT operations and investments. Members and founders are prominent senior level executives, analysts, engineers, venture capitalists, and entrepreneurs in various companies.",Founded 2019,Undisclosed,10 - 49,+20222735725,Undisclosed,37 Makram Ebeid,Transatlantic Technology and Services,https://tatastech.com/
India,"We help small & medium businesses digitize their data, automate their business processes, analyze data for growth insights, predictions, and recommendations. We also provide consulting for building teams, functional strategies & systems with complete clarity about goals, roles, competency & culture so as to accomplish successful digital transformation.",Founded 2018,< $25 / hr,10 - 49,9886640292,"$5,000+","2nd Floor, BNR Complex, JP Nagar, 7th Phase, Bengaluru – 560078",Aaruni Technology Solutions Pvt. Ltd.,https://www.aarunitechsol.com
India,"Our Data Governance services provide the right tools, processes, and knowledge required to establish end-to-end data governance and quality systems in the retail and e-commerce space.",Founded 2019,$25 - $49 / hr,10 - 49,09884649716,"$5,000+","SURATWAALA MARK PLAZZO, Hinjewadi",XSAV Technology PVT LTD,http://www.savtechnologys.com
